total,candidate_id,state,state_full,cycle
470180.07,P00003392,AL,Alabama,2016
68501.42,P00003392,AK,Alaska,2016
834704.74,P00003392,AZ,Arizona,2016
803144.42,P00003392,AR,Arkansas,2016
26322296.38,P00003392,CA,California,2016
2552076.74,P00003392,CO,Colorado,2016
2209446,P00003392,CT,Connecticut,2016
136997.87,P00003392,DE,Delaware,2016
7542427.54,P00003392,FL,Florida,2016
1688490.3,P00003392,GA,Georgia,2016
160317.5,P00003392,HI,Hawaii,2016
87328.14,P00003392,ID,Idaho,2016
5270473.58,P00003392,IL,Illinois,2016
692509.65,P00003392,IN,Indiana,2016
418306.45,P00003392,IA,Iowa,2016
297074.21,P00003392,KS,Kansas,2016
748855.3,P00003392,LA,Louisiana,2016
317280.35,P00003392,ME,Maine,2016
4453267.84,P00003392,MD,Maryland,2016
4806948.7,P00003392,MA,Massachusetts,2016
1471270.44,P00003392,MI,Michigan,2016
1307213.11,P00003392,MN,Minnesota,2016
172108.07,P00003392,MS,Mississippi,2016
1521701.71,P00003392,MO,Missouri,2016
91141.63,P00003392,MT,Montana,2016
308840.95,P00003392,NE,Nebraska,2016
820329.1,P00003392,NV,Nevada,2016
368102.18,P00003392,NH,New Hampshire,2016
3280083.13,P00003392,NJ,New Jersey,2016
684886.69,P00003392,NM,New Mexico,2016
20546365.76,P00003392,NY,New York,2016
1599365.21,P00003392,NC,North Carolina,2016
28920.63,P00003392,ND,North Dakota,2016
852,P00003392,MP,Northern Mariana Islands,2016
1501462.23,P00003392,OH,Ohio,2016
904015.39,P00003392,OK,Oklahoma,2016
792552.66,P00003392,OR,Oregon,2016
3173470.7,P00003392,PA,Pennsylvania,2016
474149.42,P00003392,PR,Puerto Rico,2016
572116.73,P00003392,RI,Rhode Island,2016
820312.24,P00003392,SC,South Carolina,2016
49334.83,P00003392,SD,South Dakota,2016
980697.07,P00003392,TN,Tennessee,2016
6926514.19,P00003392,TX,Texas,2016
340864,P00003392,UT,Utah,2016
123118.12,P00003392,VT,Vermont,2016
16488.37,P00003392,VI,Virgin Islands,2016
3908201.54,P00003392,VA,Virginia,2016
648799.09,P00003392,WI,Wisconsin,2016
62419.38,P00003392,WY,Wyoming,2016
3350,P00003392,AA,,2016
940297.63,P00003392,,,2016
8832.72,P00003392,AE,,2016
100,P00003392,BC,,2016
200,P00003392,QC,,2016
1100,P00003392,ON,,2016
3176.88,P00003392,AP,,2016